epoch,lr,train_loss,loss_cls,loss_bbox,loss_giou,loss_dfl,val_loss,val_mAP50,val_mAP5095,val_AP_small,val_AP_medium,val_AP_large,val_precision,val_recall,AP_crack_longitudinal,AP_crack_transverse,AP_crack_alligator,AP_pothole,AP_crack_structural,AP_litter,AP_manhole_damaged,AP_manhole_missing,epoch_time_s,peak_vram_gb
1,3.335665966876604e-05,31.17935610653268,0.2022350193514331,0.5817399668808217,0.9179550117288138,0.0,21.78968778371356,0.04354060301543375,0.009217866252178762,1.1137698628431893e-05,0.0050286541096303365,0.009586083848899179,0.04354060301543375,0.18639726327275108,5.303135226641441e-07,0.0,0.007249115533788987,1.2610190017475304e-05,0.0021984448795771454,0.00028427143773358213,0.043567400573680304,0.020430557089109926,4402.2,1.78
2,6.668999300209937e-05,21.532488612657325,0.3023819561515477,0.2872944862132621,0.7708383008283874,0.0,18.736605995224537,0.025411690289080864,0.007055326271523245,0.0005077430820005076,0.005828180562706876,0.0075565731260453795,0.025411690289080864,0.2810529583534537,2.2390849381828226e-05,3.651879542186061e-05,0.009014067039746604,8.2837088132647e-06,0.0027722760742252494,0.0003916360612385216,0.02684309742425265,0.017354340219105965,4269.3,1.78
3,0.0001,19.930988379371417,0.3293273615659995,0.2389240077510639,0.7444466412458349,0.0,18.50929502539586,0.021600478024246902,0.00626896486944669,4.1254125412541255e-05,0.011549237897499476,0.006699673453286443,0.021600478024246902,0.2896280962026656,1.0939454355596374e-05,3.5805998673791884e-05,0.014166403019406498,3.9374726005935314e-05,0.00445980519888143,0.00036387332699175715,0.020715579184086418,0.010359938047172099,4277.5,1.78
4,9.992483506344915e-05,19.63483250917672,0.3288301519308016,0.23169909063474184,0.7329747860146028,0.0,18.039319945953316,0.030613502652713565,0.009391170018697456,1.5866971312515868e-06,0.008953711096918622,0.010182754852349285,0.030613502652713565,0.28395143928828415,1.6581661714352454e-05,5.863779761954492e-05,0.021334933602682783,3.396846548628155e-05,0.002666568312500992,0.00029915387564048447,0.026972801629432077,0.02374671480450313,4201.7,1.78
5,9.96995685272385e-05,16.412531471430317,0.33625886334406857,0.1827936580208357,0.5789123204815685,0.0,13.333182896324365,0.036186713415070564,0.011965150339922499,0.00018249169382665277,0.02289744219843742,0.013615860276523443,0.036186713415070564,0.3527245891509502,0.0001438826968703504,6.722523818677346e-07,0.020757685736484264,0.00030456150191528474,0.008387747544321467,0.002724225843502661,0.046968989858300864,0.016433437285603217,4213.3,1.78
6,9.932488451843476e-05,13.94845265655159,0.3431628208330523,0.14207415011384417,0.47666033176313494,0.0,12.357379477008413,0.04364975892248153,0.014776350183139804,9.920130288920554e-06,0.028441125347853285,0.016549858694222833,0.04364975892248153,0.40703834026872543,0.00027902683458355654,0.00022652949410951418,0.0284449509263729,0.00015238386011821498,0.009053528018546543,0.0004899615157647173,0.05002763192662796,0.029536788888995018,4198.1,1.78
7,9.880192094005806e-05,13.471214953593984,0.34177214666528305,0.13191041482305443,0.4575794772571177,0.0,11.99512484021589,0.04362332237115678,0.01551028414338083,0.0008290343287569402,0.027875959194069846,0.017781372872205395,0.04362332237115678,0.42857488610156225,0.00017007384214286895,0.00015466820884391078,0.03485799277967117,0.00020047867166032024,0.009694945991918157,0.0007796482125195205,0.0576399087822403,0.02058455665805038,4515.2,1.78
8,9.81322660153079e-05,13.075916102042509,0.3380305584241967,0.12539427526324506,0.44157951506767723,0.0,11.552194239433511,0.04807845056700027,0.018413428679266125,0.0007152148655122128,0.028837261485279462,0.021269333492590005,0.04807845056700027,0.45341203062805924,0.0005109711020362933,0.00021747949576328402,0.029543875807352418,0.00048270667792763315,0.01029301106037326,0.0008394654401416812,0.07182015820208386,0.03359976164845055,4649.8,1.78
9,9.73179534641814e-05,12.885343983143269,0.3421295911208883,0.1217585339774119,0.4343250608380361,0.0,11.29780631909094,0.049720107876622066,0.018443504853103115,0.00019899630374102637,0.022767646323140704,0.019863002761497276,0.049720107876622066,0.46345160077527126,0.00040302090044742466,0.0003736131719018974,0.018413010413597806,0.00046146870101672105,0.005309388112459651,0.0008750131837132816,0.09379929570468482,0.027913228637003344,4424.5,1.78
10,9.636145632713268e-05,12.521078428227957,0.3333456081365918,0.11644847160038282,0.4209385348228998,0.0,11.030533736002374,0.06366869868540144,0.02714600329216029,0.00035226992015278074,0.04441345882714968,0.029244012300907906,0.06366869868540144,0.48052449165912,0.0007954331741980814,0.00020738017894126378,0.02794499226431613,0.00042396992059772333,0.012338225442393654,0.0011200179795694976,0.11489921518788307,0.059438792189382916,4365.6,1.78
11,9.526567945453009e-05,12.308323115786065,0.3282148827528675,0.1133318587635926,0.4140163911896655,0.0,10.842275462649848,0.07674332164328258,0.03270496596787398,0.0013340308749775496,0.03999387927289206,0.03641581847286901,0.07674332164328258,0.4953068477661744,0.0007973869889283742,0.0002501348473700006,0.02708953173902221,0.0005643247609222982,0.010718691424914405,0.0013638958203219206,0.1368778322861764,0.08397792987533624,4661.5,1.78
12,9.403395068472121e-05,11.873741461213141,0.31707784907041653,0.10780771442236575,0.3993698063555325,0.0,10.63509369883789,0.09270917199547392,0.041573372902410005,0.0007510277997586036,0.04831565345911894,0.046987871098834434,0.09270917199547392,0.5132594894900349,0.0010132068766852504,0.0002788497624058613,0.03111740640216076,0.0009112574636848013,0.015212547840044348,0.0018138365288350954,0.1819453597837169,0.100294518561747,4324.5,1.78
13,9.267001073749719e-05,11.500924376639727,0.31325436564036946,0.10144381593631041,0.38484754002623334,0.0,10.387850314514548,0.10371057336472604,0.04751948120921008,0.0005167649992055235,0.04748344258600879,0.05430614842983962,0.10371057336472604,0.5356164678862168,0.001304050041516176,0.00057263111370492,0.03767138721881499,0.0008830057125517279,0.01468528418573199,0.004425660557424155,0.20950622647422054,0.1111076043697161,5889.0,1.78
14,9.117800185364963e-05,11.215553767201834,0.30713166182644497,0.09789789217004205,0.3738896599309018,0.0,10.146412368707482,0.10508692279412078,0.04936533743337607,0.000553860591688522,0.056062987946518324,0.05671298470962764,0.10508692279412078,0.5526235902669778,0.0018434820593597797,0.0004532063174966967,0.03880343314833308,0.0014577962863022275,0.013425719997426715,0.00493032122779356,0.2266176778334318,0.1073910625968647,4781.8,1.78
15,8.956245521512149e-05,10.862515753000375,0.2927418634808363,0.09574483183579488,0.36646446706519464,0.0,9.926172016459333,0.11239933376270436,0.054352833780760515,0.0001735811758772639,0.06156683270259555,0.06374670903588497,0.11239933376270436,0.568728814262541,0.0025935470259586904,0.0006674909774125672,0.04840347730741014,0.0015823951159197843,0.013975894829473288,0.0046513964022691185,0.2495073704864416,0.11344109810119901,6302.0,1.78
