epoch,lr,train_loss,loss_cls,loss_bbox,loss_giou,loss_dfl,val_loss,val_mAP50,val_mAP5095,val_AP_small,val_AP_medium,val_AP_large,val_precision,val_recall,AP_crack_longitudinal,AP_crack_transverse,AP_crack_alligator,AP_pothole,AP_crack_structural,AP_litter,AP_manhole_damaged,AP_manhole_missing,epoch_time_s,peak_vram_gb
1,3.335665966876604e-05,8.839649873150238,0.2140969796943041,0.06953027877536914,0.33605013534353695,0.0,9.377408122258672,0.2630594824745617,0.1514787507848477,0.0032966168632374056,0.1103859778485437,0.20393893795824655,0.35788175329100685,0.7220304439724821,0.017348507442469244,0.008661919112032472,0.12266325087229485,0.010906389653346773,0.06320723986097562,0.16120622647947128,0.5006192491048964,0.3272172237532952,1831.3,5.25
2,6.668999300209937e-05,9.362881774498584,0.21785807980131944,0.07632096414894199,0.36424500973304724,0.0,9.705860854154926,0.2676841440114347,0.14107258767010908,0.0020964292178655294,0.10363511072701234,0.18487006608880577,0.3651366208171217,0.6987681019244194,0.0164754358994875,0.005874914527358258,0.1430838574763356,0.010202766832488145,0.06078001749140212,0.13252113398680962,0.4568918007043775,0.30275077444261395,1428.0,5.309
3,0.0001,10.015312389196259,0.2288446343778271,0.08440769992656667,0.3928327148557335,0.0,10.14679521797067,0.22618292996731776,0.12750686566116118,0.002870996443501087,0.07117364769585646,0.1674874224717142,0.3153340587924505,0.6316145384594204,0.010906594894757779,0.00567993275991509,0.11018477034696086,0.005607745965970981,0.053406905278326484,0.10874395304951665,0.4488507315273189,0.2766742914665227,1420.4,5.248
4,9.992483506344915e-05,10.45619960232495,0.23695517732045548,0.09045140636189364,0.4083254450425099,0.0,10.075334968657817,0.25153883504075997,0.1353119755085762,0.0013325125649410118,0.09635422572224094,0.1784317417950675,0.35258474835560466,0.6649006469101072,0.01674140306731076,0.011395467683430537,0.10091340763715081,0.006818392443573413,0.04651584322424206,0.1228566758929472,0.4533187617146131,0.32393585240534184,1422.2,5.271
5,9.96995685272385e-05,10.391341219714173,0.23566330178524122,0.08990621565794865,0.40489051221205774,0.0,9.79052993746127,0.24091658533091637,0.13435901196604697,0.0040387736560855226,0.09821623616692927,0.17940756519243053,0.33254396425131005,0.6839466875330354,0.013398174978319796,0.009656442985021583,0.11206698357805568,0.008282179009241504,0.05105393814672922,0.14091456962542798,0.4669720355064249,0.272527771899155,1432.9,5.26
6,9.932488451843476e-05,10.311700700045133,0.23604983446514788,0.08827038259330831,0.40161565988682385,0.0,9.596905537985139,0.25336295815738924,0.1459538883212151,0.0026443974743098854,0.11788145830979974,0.1920197548850209,0.3588366399517098,0.7127848047403396,0.021870484057573792,0.008308404333628845,0.11482699681149124,0.011932559376396024,0.04787755538771617,0.1460162522883182,0.5009132285239363,0.3158856257906602,1430.4,5.26
7,9.880192094005806e-05,10.327102023459048,0.23412163592053822,0.08907523510248991,0.40352007519894334,0.0,9.493146236771244,0.258338306471561,0.14851871475394887,0.003258199828014953,0.1309347381788449,0.19654114384629856,0.3458087756003849,0.717087070433825,0.01876087152265173,0.009658967976392449,0.12313700745556579,0.012988056458099797,0.059014851168674935,0.15748925328990715,0.5166701901394036,0.29043052002089553,1421.1,5.248
8,9.81322660153079e-05,10.12175410664774,0.23096217582115683,0.08675301550875142,0.3963990596815829,0.0,9.18668885609861,0.2751158879622606,0.1642530504813974,0.003163619737273004,0.13361466998031502,0.21369285777063854,0.3494270816016797,0.7344649283231706,0.01820508854619832,0.014977034916236325,0.13709595105704858,0.015149393819706826,0.06830611567930238,0.1680343714492809,0.5474047866142284,0.34485166176917725,1424.1,5.307
9,9.73179534641814e-05,10.113690573323264,0.22756346622240803,0.08714355316346784,0.3971322955755273,0.0,9.134174717684923,0.27463857473357806,0.16346758729719787,0.005003964619482584,0.14381846515745017,0.2141328775768126,0.37125096041733097,0.7308861604178738,0.01798845769343637,0.014167598708430762,0.14341983229951458,0.014453716686129428,0.07073654697585705,0.17705669505301114,0.5371381991525833,0.3327796518086203,1417.6,5.33
10,9.636145632713268e-05,10.016298098026914,0.22818063739413477,0.08589089385763676,0.3904438945481083,0.0,9.034640572939889,0.28690165169966253,0.17004861778921168,0.004768772585388065,0.14470917016222765,0.2231170559827323,0.3600019452068156,0.7405604047160449,0.02288574561826304,0.015808077748556363,0.16246558212593282,0.015153965060734175,0.06886205931895917,0.1817895198513464,0.5445859132423247,0.348838079347577,1416.2,5.3
