epoch,lr,train_loss,loss_cls,loss_bbox,loss_giou,loss_dfl,val_loss,val_mAP50,val_mAP5095,val_AP_small,val_AP_medium,val_AP_large,val_precision,val_recall,AP_crack_longitudinal,AP_crack_transverse,AP_crack_alligator,AP_pothole,AP_crack_structural,AP_litter,AP_manhole_damaged,AP_manhole_missing,epoch_time_s,peak_vram_gb
16,0.008782827718395636,7.786222919039663,4.922401208824174,0.3244661138431437,0.0,1.9276843078491819,8.865132948503655,0.1339534322400151,0.06502370084260668,0.01539409824919414,0.060568436381650624,0.06349470092170006,0.2640492120065598,0.27088982343834633,0.0,0.003970830450293151,0.04767726078355719,6.297357847925572e-05,0.023557938373868388,0.19554609883489166,0.20422618631649486,0.0451483184032689,749.4,2.577
17,0.008598073440183835,7.663926489625134,4.85912956642554,0.3188266203672924,0.0,1.8954413738844693,8.804365220312345,0.13642579916149594,0.06639010759509532,0.016651526084347817,0.0640291916299475,0.06537431154326608,0.26529780158779737,0.27794020249830836,0.0,0.004928813074793974,0.05265664264964303,0.00010749911044576563,0.024455125891682892,0.20600766373269824,0.21397692336455787,0.028988192936940754,703.7,2.577
18,0.00840254377954742,7.591609266106277,4.855880229267897,0.31453290017565455,0.0,1.8697816077606757,8.83632508859796,0.139145192138549,0.06886320753591854,0.018103699003698785,0.0649341483064813,0.0686932752209076,0.26981903010234265,0.27851264340377707,0.0,0.005661459010815021,0.05566478517200318,0.00015036908656557374,0.024451685225742606,0.2165580232693527,0.22104546142927756,0.02737387709359171,555.5,2.58
19,0.008196832553639342,7.5026942824383065,4.844016311967849,0.3090542474353622,0.0,1.8418528494758153,8.92098607370409,0.1424231807046892,0.07148591476807006,0.018645713647414918,0.06565305370170654,0.07173540741320991,0.27448998591596796,0.2768281566828992,0.0,0.005904322333180726,0.059975675509673365,0.0015686783613605229,0.023858818265527045,0.22680335144672628,0.22197390961889038,0.03180256260920209,558.1,2.58
20,0.007981564500691651,7.41065474137132,4.767434027580384,0.3055773508285959,0.0,1.8234050570041505,9.04890367863542,0.141822250430183,0.07123943192254652,0.0197868251125521,0.06562802004128583,0.07290433623466912,0.28470397999029334,0.272097017055839,0.0,0.007329874389497414,0.06042025678744952,0.001577113527711961,0.02224023057952214,0.2362396187265798,0.21324068888807746,0.028867672481533865,574.4,2.58
21,0.007757393382706014,7.366318976653882,4.793029674289108,0.3017152726045432,0.0,1.804626396521561,9.265779849230233,0.13926953945432008,0.07113284216061164,0.020048261044885444,0.06649459549763996,0.07423857913810263,0.31437316119358766,0.2593685753298939,0.0,0.00696766118829645,0.05791748426895239,0.001633361770041381,0.020497529390402912,0.24252788670003836,0.2097592665838518,0.02975954738330976,440.8,2.58
22,0.007525,7.307539573493248,4.748039283562241,0.29947614388252325,0.0,1.791632567025966,9.510400251614845,0.13373970276890731,0.06885272238637717,0.021350658879176837,0.06623233685573517,0.07325694042057943,0.30153700856129234,0.24568007014004623,0.0,0.00761046747712545,0.05072841821833583,0.0011853818607761028,0.01833735253431938,0.24830829355081038,0.20138453871697698,0.023267326732673267,406.6,2.58
23,0.007285090123638902,7.261419433743241,4.762480811775774,0.29572077865071694,0.0,1.7748487901654253,9.817136395179618,0.12611216322239832,0.06703990692300221,0.02206923060495369,0.06486067456213979,0.07181398993976065,0.31236129396836054,0.22780954706955003,0.0,0.007980212098469793,0.04204046732123725,0.0022513050821385545,0.018660848381571504,0.2531783576183538,0.18894073814957354,0.023267326732673267,404.4,2.58
24,0.0070383923520322,7.192767525486716,4.691009212074119,0.29378232744667726,0.0,1.762596970675624,10.176934032116906,0.12083880347010326,0.0640419347293228,0.021941046071502403,0.06442212219977145,0.068847542098156,0.3046847560039911,0.2134835296307162,0.0,0.009009954994985138,0.03207097694534826,0.0039910405389608095,0.01696159619623052,0.2569028515546545,0.17854757245588845,0.014851485148514849,404.1,2.58
25,0.006785655898204135,7.128923265478509,4.677009834869497,0.29005794044638783,0.0,1.7433225218443873,10.528676197892528,0.11632234447423645,0.0619954214638141,0.021939303830413356,0.06495055084735125,0.06683527221160371,0.22798072708060632,0.20462845211956945,0.0,0.009126827042841429,0.025390104170723626,0.006330170493544614,0.016620910994524358,0.261883916053999,0.17661144295487965,0.0,406.0,2.58
26,0.006527648314458389,7.152859852646013,4.736944871652868,0.2891627161172489,0.0,1.7437780228755622,10.824927795539468,0.11252096405916642,0.06073951424725751,0.022614536734084954,0.06556541609227488,0.06581071044543571,0.2250720070332628,0.19574023733274568,0.0,0.009570103274548618,0.022273404932421588,0.006229783180443614,0.0141201160366333,0.26507009915074314,0.16865260740326973,0.0,411.0,2.58
27,0.006265153161346956,7.084477120967408,4.70334759477638,0.2856521076927492,0.0,1.7269416851460142,11.020528449850568,0.1119242711724728,0.0612652112520444,0.023293244054386028,0.06606591536759475,0.06609312835465914,0.248933005896126,0.19384538499253193,4.6534732194628785e-05,0.010725402877140544,0.019936352676087073,0.007183883959360227,0.014429503150620497,0.27163850229251507,0.16616151032843707,0.0,404.0,2.58
28,0.0059989676280225055,7.089377631333593,4.742084658087509,0.2847002131422555,0.0,1.7220558097013816,11.240062368522256,0.11410627564773036,0.06280133642998205,0.023570925603300888,0.06671384876033501,0.06774221365584701,0.251928004119834,0.19854811424329133,0.0006271386380583606,0.011476307577348702,0.019141569158518796,0.009597228782275109,0.01607091679818927,0.2779253856218155,0.1675721448636507,0.0,406.5,2.58
29,0.005729900111201121,7.045525326104828,4.71493046921062,0.28250581671550945,0.0,1.7128442967997473,11.310077039266037,0.11847068542406,0.06564339190559507,0.024820146648433843,0.06906759715898195,0.0701286031838312,0.24951091060640151,0.20404289322670713,0.005686644282939028,0.013560585326317164,0.022361861929670636,0.009223805831991361,0.016693104298521905,0.2865302242664821,0.17109090930883838,0.0,403.5,2.58
