epoch,lr,train_loss,loss_cls,loss_bbox,loss_giou,loss_dfl,val_loss,val_mAP50,val_mAP5095,val_AP_small,val_AP_medium,val_AP_large,val_precision,val_recall,AP_crack_longitudinal,AP_crack_transverse,AP_crack_alligator,AP_pothole,AP_crack_structural,AP_litter,AP_manhole_damaged,AP_manhole_missing,epoch_time_s,peak_vram_gb
1,3.335665966876604e-05,6.352347064899332,0.12470939747059871,0.05554449516652357,0.2580906371883325,0.0,8.162346199201222,0.41371690032046526,0.2278726235669488,0.018091011733403307,0.1896799511001363,0.29492179410147035,0.5075074850194933,0.7941200030441707,0.08786775781120036,0.06667768331934888,0.26486589409083117,0.080821464613623,0.14036104126185106,0.28716766369480584,0.5577308245783912,0.3374886591655388,2696.2,4.149
2,6.668999300209937e-05,6.982602291191653,0.13659326192836224,0.06227087729068195,0.28588109269532286,0.0,8.469855437611656,0.38326717861861914,0.20257806441178333,0.010605762803746146,0.13843177009700086,0.26633997001143345,0.5053365430776038,0.7698199357914964,0.08826149002276303,0.04506638695739557,0.24199708959902524,0.06777102218620429,0.11134454101813923,0.24143180878727238,0.5682093285598608,0.256542848163606,2534.6,4.148
3,0.0001,7.730677716521319,0.15615731366057523,0.06942558037441303,0.31446652286352866,0.0,8.84287606128886,0.3491781374091698,0.18203883477623065,0.008086132334838491,0.14183544784926155,0.23671846359956214,0.4581164761750409,0.7421208973793425,0.03966768601952964,0.03739677765040087,0.22139114386758324,0.05077578956983881,0.11765610239453572,0.1812650121341803,0.5265174629713509,0.2816407036024256,2344.2,4.148
4,9.966529870822618e-05,8.228719292981696,0.17481085125557325,0.07396515953561915,0.32684913780087355,0.0,8.559362081648246,0.34699098166614173,0.1890573162170848,0.007263615063308581,0.1585365720595106,0.2537851443787251,0.4804268562021494,0.7487316864875966,0.06343048194981739,0.03726307989191324,0.20345770462613433,0.058791741936523645,0.10224763163731995,0.21237708759772397,0.5290339198719864,0.3058568822252596,2336.1,4.148
5,9.866572109370128e-05,8.288813329417925,0.1786004442274067,0.07417584970744627,0.32764140944501124,0.0,8.367285010692964,0.35672965360114633,0.19775575591650787,0.010623409439464774,0.13782323117500495,0.26042414082467513,0.45688382939324396,0.7512223521268848,0.0605800887282931,0.029498595820822565,0.22808965115076238,0.04644314283258951,0.12994015813315746,0.21462148081629595,0.5563916659984562,0.31648126385168585,2330.2,4.148
6,9.701478472890248e-05,8.282100195586107,0.17524670495814199,0.07414508019817528,0.3307777645712458,0.0,8.253709913038854,0.37544241939377965,0.20516298447423403,0.012958360609744446,0.15023497930608923,0.265379146266506,0.4743297129208709,0.7765006482291055,0.0753947364980717,0.03486232637837924,0.23154651693051775,0.06286920375630287,0.13853935095893075,0.22695070410632703,0.5498689692433855,0.3212720679219574,2346.5,4.148
7,9.473481569600891e-05,8.199979718583634,0.17378743186546466,0.07332795944526851,0.32702074136838477,0.0,8.235953345381796,0.3735245412753095,0.20741436564664995,0.008717117703116515,0.15297775925024068,0.26975309391676355,0.4989753016021165,0.7746492654005864,0.07889954576727991,0.04194936293499157,0.2380719959146824,0.06389705241114449,0.1288899322801996,0.2481068703093627,0.5587176182412241,0.30078254731431464,2342.7,4.148
8,9.185664666494036e-05,8.095541018665552,0.17007138659596305,0.07194934852743182,0.32390753388566446,0.0,8.078478882606614,0.3860675883838536,0.21819019852444485,0.011906758908295328,0.19182653268969477,0.28316482287851275,0.5179234257054838,0.7808846097440052,0.0698528146077529,0.044095737521757813,0.24889697466530714,0.06324101805891488,0.14020976929366744,0.2560261582589795,0.5852225429300828,0.33797657285909644,2500.2,4.148
9,8.84191999343894e-05,8.030288062136421,0.16851760976366806,0.07203676217236113,0.3213648779804168,0.0,7.950788410597529,0.39901812228294686,0.22672191136178577,0.016432548698177177,0.20645296612571598,0.2876240859205206,0.5171316461361599,0.7897266899741049,0.0828152050119925,0.05165996851552347,0.24844518127361162,0.0736054500240174,0.1506869008141809,0.2687041970632717,0.584035382737027,0.35382300545466133,2553.6,4.148
10,8.446896107450232e-05,7.89011883279224,0.16463909024791848,0.07019713439062976,0.31646716405597,0.0,7.879057866043285,0.40090081343665723,0.2283311426333021,0.01583499292669796,0.19897285677166315,0.2948860347268416,0.5297656098623059,0.7924205117037983,0.08092979660082525,0.0574487999295142,0.2497444464081277,0.07685255959916794,0.15032499297628693,0.2805391823265344,0.5857751111297572,0.345034252096203,2596.0,4.148
